================================================================================
📊 GYROSTARS - TOZALANGAN VA HAQIQIY BALANSLAR HISOBOTI
🕒 Sana va vaqt: 2026-08-21 18:44:29
👥 Jami foydalanuvchilar: 308 ta
💰 Balansga ega foydalanuvchilar: 1 ta
💳 Jami foydalanuvchilar balansi: 32 000 so'm
================================================================================

--- 🌟 BALANSGA EGA FOYDALANUVCHILAR ---
№     | Telegram ID      | Balans                 | Izoh                          
--------------------------------------------------------------------------------
1     | 8856364002       | 32 000 so'm            | 202k - 170k (Premium olingan) 

--- ⚪ 0 SO'M BALANSLI FOYDALANUVCHILAR ---
№     | Telegram ID      | Balans                 | Holat               
--------------------------------------------------------------------------------
169   | 7075278071       | 0 so'm                 | Tozalangan          
170   | 7089788814       | 0 so'm                 | Tozalangan          
171   | 7090579347       | 0 so'm                 | Tozalangan          
172   | 7105795228       | 0 so'm                 | Tozalangan          
173   | 7107789537       | 0 so'm                 | Tozalangan          
174   | 7111920579       | 0 so'm                 | Tozalangan          
175   | 7141848668       | 0 so'm                 | Tozalangan          
176   | 7155435053       | 0 so'm                 | Tozalangan          
177   | 7160415725       | 0 so'm                 | Tozalangan          
178   | 7166901977       | 0 so'm                 | Tozalangan          
179   | 7174094312       | 0 so'm                 | Tozalangan          
180   | 7175174178       | 0 so'm                 | Tozalangan          
181   | 7182655555       | 0 so'm                 | Tozalangan          
182   | 7186942207       | 0 so'm                 | Tozalangan          
183   | 7193641399       | 0 so'm                 | Tozalangan          
184   | 7204627834       | 0 so'm                 | Tozalangan          
185   | 7216170303       | 0 so'm                 | Tozalangan          
186   | 7218943656       | 0 so'm                 | Tozalangan          
187   | 7220434847       | 0 so'm                 | Tozalangan          
188   | 7229838524       | 0 so'm                 | Tozalangan          
189   | 7231213117       | 0 so'm                 | Tozalangan          
190   | 7253360242       | 0 so'm                 | Tozalangan          
191   | 7271963426       | 0 so'm                 | Tozalangan          
192   | 7279692348       | 0 so'm                 | Tozalangan          
193   | 7287039292       | 0 so'm                 | Tozalangan          
194   | 7308574846       | 0 so'm                 | Tozalangan          
195   | 7320323403       | 0 so'm                 | Tozalangan          
196   | 7325795897       | 0 so'm                 | Tozalangan          
197   | 7335566410       | 0 so'm                 | Tozalangan          
198   | 7344774524       | 0 so'm                 | Tozalangan          
199   | 7350400551       | 0 so'm                 | Tozalangan          
200   | 7350719143       | 0 so'm                 | Tozalangan          
201   | 7353658528       | 0 so'm                 | Tozalangan          
202   | 7365970849       | 0 so'm                 | Tozalangan          
203   | 7371164879       | 0 so'm                 | Tozalangan          
204   | 7383286589       | 0 so'm                 | Tozalangan          
205   | 7418946122       | 0 so'm                 | Tozalangan          
206   | 7419970220       | 0 so'm                 | Tozalangan          
207   | 7422733170       | 0 so'm                 | Tozalangan          
208   | 7423801431       | 0 so'm                 | Tozalangan          
209   | 7426200705       | 0 so'm                 | Tozalangan          
210   | 7443588785       | 0 so'm                 | Tozalangan          
211   | 7449440946       | 0 so'm                 | Tozalangan          
212   | 7461462217       | 0 so'm                 | Tozalangan          
213   | 7461960921       | 0 so'm                 | Tozalangan          
214   | 7471884325       | 0 so'm                 | Tozalangan          
215   | 7483140151       | 0 so'm                 | Tozalangan          
216   | 7483960333       | 0 so'm                 | Tozalangan          
217   | 7485414197       | 0 so'm                 | Tozalangan          
